Year,block,BBS_route,Mayponds,logMayponds,ccsma1fi,ccsmb1,gfdla1fi,gfdlb1,hadcm3a1fi,hadcm3b1,pcma1fi,pcmb1,,logccsma1fi,logccsmb1,loggfdla1fi,loggfdlb1,loghadcm3a1fi,loghadcm3b1,logpcma1fi,logpcmb1,stopAMCO,birdAMCO,logstpAMCO,logbrdAMCO,stopSORA,birdSORA,logstpSORA,logbrdSORA,stopAMBI,birdAMBI,logstpAMBI,logbrdAMBI,stopBLTE,birdBLTE,logstpBLTE,logbrdBLTE,stopPBGR,birdPBGR,logstpPBGR,logbrdPBGR,stopNOPI,birdNOPI,logstpNOPI,logbrdNOPI
2005,2,x,1947,3.289365952,1271,1227,1353,1396,2181,1249,1357,867,1362.625,3.104145551,3.088844563,3.131297797,3.144885418,3.338655666,3.096562438,3.132579848,2.938019097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,3,23,3899,3.590953235,958,1147,1092,1116,1936,1889,1199,1075,1301.5,2.981365509,3.059563418,3.038222638,3.047664195,3.286905353,3.276231958,3.078819183,3.031408464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,0.903089987,1.322219295
1968,3,23,5018,3.700530657,1991,1285,1454,1457,2235,2203,1244,1244,1639.125,3.29907126,3.108903128,3.162564407,3.163459552,3.349277527,3.343014497,3.09482038,3.09482038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,3,23,4078,3.610447221,1300,1374,1872,1854,1830,1822,949,904,1488.125,3.113943352,3.137986733,3.272305844,3.26810973,3.26245109,3.260548373,2.977266212,2.95616843,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0.77815125,0,0,0,0,9,20,0.954242509,1.301029996
1970,3,23,5063,3.704407927,760,811,2160,2139,1252,1214,1498,1456,1411.25,2.880813592,2.909020854,3.334453751,3.330210785,3.097604329,3.084218687,3.175511813,3.163161375,14,35,1.146128036,1.544068044,4,7,0.602059991,0.84509804,2,2,0.301029996,0.301029996,2,5,0.301029996,0.698970004,4,4,0.602059991,0.602059991,23,720,1.361727836,2.857332496
1971,3,23,4839,3.684755622,2013,510,1706,1709,1042,983,2060,1899,1490.25,3.303843775,2.707570176,3.231979027,3.232742063,3.017867719,2.992553518,3.31386722,3.278524965,4,6,0.602059991,0.77815125,5,7,0.698970004,0.84509804,5,5,0.698970004,0.698970004,1,5,0,0.698970004,0,0,0,0,5,8,0.698970004,0.903089987
1972,3,23,5112,3.708590845,1168,1397,1881,1887,2121,2121,1095,673,1542.875,3.067442843,3.145196406,3.274388796,3.2757719,3.326540669,3.326540669,3.039414119,2.828015064,4,7,0.602059991,0.84509804,9,11,0.954242509,1.041392685,2,2,0.301029996,0.301029996,3,5,0.477121255,0.698970004,0,0,0,0,20,64,1.301029996,1.806179974
1973,3,23,4203,3.62355939,2345,1695,1369,1379,465,469,1216,1234,1271.5,3.370142847,3.229169703,3.136403448,3.139564266,2.667452953,2.671172843,3.084933575,3.09131516,5,18,0.698970004,1.255272505,8,8,0.903089987,0.903089987,7,7,0.84509804,0.84509804,10,45,1,1.653212514,3,5,0.477121255,0.698970004,6,15,0.77815125,1.176091259
1974,3,23,4233,3.626648268,2407,2203,1811,1831,1996,1965,1860,1702,1971.875,3.38147609,3.343014497,3.25791845,3.262688344,3.300160537,3.293362555,3.269512944,3.230959556,6,9,0.77815125,0.954242509,7,9,0.84509804,0.954242509,3,3,0.477121255,0.477121255,10,31,1,1.491361694,2,2,0.301029996,0.301029996,10,29,1,1.462397998
1975,3,23,5063,3.704407927,2071,1105,1326,1288,1498,1445,2030,1925,1586,3.316180099,3.043362278,3.122543524,3.109915863,3.175511813,3.159867847,3.307496038,3.284430734,10,21,1,1.322219295,14,17,1.146128036,1.230448921,0,0,0,0,6,11,0.77815125,1.041392685,0,0,0,0,5,14,0.698970004,1.146128036
1976,3,23,4224,3.62572391,1945,1458,1481,1476,2135,2128,1046,1160,1603.625,3.288919606,3.163757524,3.170555059,3.169086357,3.329397879,3.327971624,3.019531685,3.064457989,4,15,0.602059991,1.176091259,0,0,0,0,1,1,0,0,12,17,1.079181246,1.230448921,1,3,0,0.477121255,0,0,0,0
1977,3,23,3899,3.590953235,355,983,1607,1604,1369,1299,593,671,1060.125,2.550228353,2.992553518,3.206015877,3.205204364,3.136403448,3.113609151,2.773054693,2.82672252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,3,23,4749,3.67660217,1986,2253,1438,1532,1933,2039,2055,2106,1917.75,3.297979244,3.352761192,3.157758886,3.185258765,3.286231854,3.309417226,3.312811826,3.323458367,2,5,0.301029996,0.698970004,1,1,0,0,1,1,0,0,3,12,0.477121255,1.079181246,0,0,0,0,0,0,0,0
1979,3,23,4878,3.688241796,804,1931,1157,1162,1873,1823,1891,2030,1583.875,2.905256049,3.285782274,3.063333359,3.065206128,3.272537777,3.260786669,3.276691529,3.307496038,8,12,0.903089987,1.079181246,1,1,0,0,0,0,0,0,4,9,0.602059991,0.954242509,1,1,0,0,8,14,0.903089987,1.146128036
1980,3,23,3828,3.582971929,1881,2208,2037,2052,1588,1571,2394,2517,2031,3.274388796,3.343999069,3.308991029,3.312177356,3.200850498,3.196176185,3.379124146,3.400883216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1981,3,23,2674,3.427161403,988,784,1980,1978,1790,1718,1286,1739,1532.875,2.994756945,2.894316063,3.29666519,3.296226287,3.252853031,3.235023159,3.109240969,3.240299582,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0.477121255
1982,3,23,4183,3.621487865,1736,1349,1702,1754,1185,1155,1733,1864,1559.75,3.239549721,3.13001195,3.230959556,3.244029589,3.07371835,3.062581984,3.238798563,3.270445908,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0.602059991,0.954242509,0,0,0,0,7,12,0.84509804,1.079181246
1983,3,23,3411,3.532881719,1790,1647,1831,1806,2046,2058,1256,1402,1729.5,3.252853031,3.216693599,3.262688344,3.256717746,3.310905629,3.31344537,3.098989639,3.146748014,2,3,0.301029996,0.477121255,2,2,0.301029996,0.301029996,0,0,0,0,4,5,0.602059991,0.698970004,0,0,0,0,7,12,0.84509804,1.079181246
1984,3,23,3899,3.590953235,2621,1654,1074,1072,1472,1445,2083,2081,1687.75,3.418467021,3.218535505,3.031004281,3.030194785,3.16790781,3.159867847,3.31868927,3.31827208,0,0,0,0,4,5,0.602059991,0.698970004,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0.602059991,0.698970004
1985,3,23,3822,3.582290683,1691,1694,744,743,866,813,1753,1724,1253.5,3.228143608,3.228913406,2.871572936,2.870988814,2.937517892,2.910090546,3.243781916,3.236537261,2,2,0.301029996,0.301029996,3,4,0.477121255,0.602059991,1,1,0,0,1,3,0,0.477121255,0,0,0,0,1,2,0,0.301029996
1986,3,23,5151,3.71189155,1396,923,1843,1854,1458,1496,1118,990,1384.75,3.144885418,2.965201701,3.265525335,3.26810973,3.163757524,3.174931594,3.048441804,2.995635195,0,0,0,0,1,1,0,0,0,0,0,0,2,7,0.301029996,0.84509804,0,0,0,0,1,1,0,0
1987,3,23,4878,3.688241796,827,2631,1444,1464,882,723,2098,2250,1539.875,2.91750551,3.420120848,3.159567193,3.165541077,2.945468585,2.859138297,3.321805484,3.352182518,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0.77815125
1988,3,23,2777,3.44357588,2301,1494,1132,1139,1588,1560,2172,2671,1757.125,3.361916619,3.174350597,3.053846427,3.056523724,3.200850498,3.193124598,3.336859821,3.426673888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,3,23,3624,3.559188189,1204,875,1661,1672,1447,1286,757,1620,1315.25,3.080626487,2.942008053,3.220369632,3.223236273,3.160468531,3.109240969,2.87909588,3.209515015,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,5,0.301029996,0.698970004
1990,3,23,3951,3.59670703,2334,1416,1390,1336,906,885,1544,1464,1409.375,3.368100852,3.151063253,3.1430148,3.125806458,2.957128198,2.946943271,3.188647296,3.165541077,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0.301029996,0,0,0,0,0,0,0,0
1991,3,23,4423,3.645716939,1070,1998,2284,2282,2250,964,1135,2297,1785,3.029383778,3.300595484,3.3586961,3.35831564,3.352182518,2.984077034,3.054995862,3.361160995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,3,23,3364,3.526855987,1170,1210,864,867,1726,2226,1484,1331,1359.75,3.068185862,3.08278537,2.936513742,2.938019097,3.237040791,3.34752516,3.171433901,3.124178055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0.301029996
1993,3,23,3342,3.524006446,1818,1083,2054,2066,676,1377,1419,1251,1468,3.259593879,3.034628457,3.312600439,3.315130317,2.829946696,3.13893394,3.151982395,3.09725731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,3,23,4772,3.678700435,1720,2354,1530,1541,1809,922,882,2358,1639.5,3.235528447,3.371806459,3.184691431,3.187802639,3.257438567,2.964730921,2.945468585,3.372543801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0.301029996
1995,3,23,5152,3.711975854,460,782,1984,1979,2301,1816,1824,1349,1561.875,2.662757832,2.893206753,3.297541668,3.296445794,3.361916619,3.259115844,3.261024834,3.13001195,6,18,0.77815125,1.255272505,9,10,0.954242509,1,0,0,0,0,1,1,0,0,0,0,0,0,8,19,0.903089987,1.278753601
1996,3,23,5151,3.71189155,1212,1531,2929,2929,488,2009,2368,1497,1870.375,3.08350262,3.184975191,3.466719372,3.466719372,2.688419822,3.302979937,3.374381698,3.1752218,4,10,0.602059991,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,0.903089987,1.278753601
1997,3,23,4974,3.696705781,1559,1357,1327,1337,1824,1870,2038,1322,1579.25,3.192846115,3.132579848,3.122870923,3.126131407,3.261024834,3.271841607,3.30920418,3.121231455,5,11,0.698970004,1.041392685,6,10,0.77815125,1,0,0,0,0,2,2,0.301029996,0.301029996,2,2,0.301029996,0.301029996,10,19,1,1.278753601
1998,3,23,4876,3.688063697,1092,1614,1412,1455,2078,1915,2035,953,1569.25,3.038222638,3.20790353,3.149834697,3.162862993,3.317645543,3.282168778,3.308564414,2.979092901,1,1,0,0,3,3,0.477121255,0.477121255,0,0,0,0,0,0,0,0,2,2,0.301029996,0.301029996,12,42,1.079181246,1.62324929
1999,3,23,5152,3.711975854,1285,1591,1548,1516,1005,1911,1180,1486,1440.25,3.108903128,3.20167018,3.189770956,3.180699201,3.002166062,3.281260687,3.071882007,3.172018809,4,6,0.602059991,0.77815125,12,15,1.079181246,1.176091259,0,0,0,0,0,0,0,0,0,0,0,0,20,39,1.301029996,1.591064607
2000,3,23,4660,3.668385917,374,1289,2737,2745,1687,1299,1456,3012,1824.875,2.572871602,3.110252917,3.437274797,3.438542349,3.227115083,3.113609151,3.163161375,3.478854968,3,5,0.477121255,0.698970004,9,12,0.954242509,1.079181246,1,1,0,0,0,0,0,0,3,4,0.477121255,0.602059991,7,17,0.84509804,1.230448921
2001,3,23,4389,3.642365581,2466,1667,1852,1776,1161,1427,1473,1023,1605.625,3.391993072,3.2219356,3.267640982,3.249442961,3.06483222,3.154423973,3.168202747,3.009875634,1,1,0,0,2,2,0.301029996,0.301029996,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.301029996,0.602059991
2002,3,23,4037,3.606058749,1972,1383,2182,736,730,1025,1459,1095,1322.75,3.294906911,3.14082218,3.338854746,2.866877814,2.86332286,3.010723865,3.164055292,3.039414119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,3,23,4117,3.614580867,1143,2302,2913,2031,1493,590,2006,1663,1767.625,3.05804623,3.362105319,3.464340485,3.307709923,3.174059808,2.770852012,3.302330929,3.220892249,0,0,0,0,2,2,0.301029996,0.301029996,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0.477121255,0.698970004
2004,3,23,3342,3.524006446,1890,1038,1825,900,1005,2165,1899,1229,1493.875,3.276461804,3.016197354,3.261262869,2.954242509,3.002166062,3.335457901,3.278524965,3.089551883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,3,23,2296,3.360971884,608,910,1356,1354,2062,1092,1123,1470,1246.875,2.783903579,2.959041392,3.13225969,3.131618664,3.314288661,3.038222638,3.050379756,3.167317335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,4,6,4423,3.645716939,1697,1410,1240,1272,1929,1872,1644,1509,1571.625,3.229681842,3.149219113,3.093421685,3.104487111,3.285332228,3.272305844,3.215901813,3.17868924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,4,6,5063,3.704407927,2159,1474,1526,1529,2159,2139,1217,1363,1695.75,3.334252642,3.168497484,3.183554534,3.184407485,3.334252642,3.330210785,3.085290578,3.134495856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,4,6,4183,3.621487865,1427,1126,1807,1785,1931,1898,893,789,1457,3.154423973,3.051538391,3.256958153,3.25163822,3.285782274,3.278296208,2.950851459,2.897077003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,4,6,5063,3.704407927,645,615,2229,2210,1071,1026,1504,1454,1344.25,2.809559715,2.788875116,3.348110068,3.344392274,3.029789471,3.011147361,3.177247836,3.162564407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,4,6,5074,3.705350463,1983,775,1643,1657,945,883,2035,1895,1477,3.297322714,2.889301703,3.215637563,3.219322508,2.975431809,2.945960704,3.308564414,3.277609214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,4,6,4797,3.680969718,1406,2017,1964,1968,2210,2201,965,1151,1735.25,3.147985321,3.304705898,3.293141483,3.294025094,3.344392274,3.342620043,2.984527313,3.061075324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,4,6,3899,3.590953235,2277,1850,1320,1316,517,522,1323,1216,1292.625,3.357363031,3.267171728,3.120573931,3.119255889,2.713490543,2.717670503,3.121559844,3.084933575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,4,6,3899,3.590953235,2443,2236,2043,2047,2011,1965,1852,1889,2060.75,3.387923467,3.349471799,3.310268367,3.311117843,3.303412071,3.293362555,3.267640982,3.276231958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,4,6,4183,3.621487865,2096,1191,1403,1382,1592,1501,1960,1918,1630.375,3.321391278,3.075911761,3.147057671,3.140508043,3.201943063,3.176380692,3.292256071,3.282848603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,4,6,4102,3.612995656,2241,1638,1440,1435,2224,2206,1073,891,1643.5,3.350441857,3.214313897,3.158362492,3.156851901,3.347134783,3.343605508,3.030599722,2.949877704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,4,6,3601,3.556423121,446,981,1618,1607,1469,1383,683,670,1107.125,2.649334859,2.991669007,3.208978517,3.206015877,3.167021796,3.14082218,2.834420704,2.826074803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,4,6,4423,3.645716939,2101,2180,1690,1684,2173,2107,2043,2085,2007.875,3.322426052,3.338456494,3.227886705,3.226342087,3.337059726,3.323664536,3.310268367,3.319106059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,4,6,4883,3.688686724,785,1757,1196,1196,1827,1795,2003,1987,1568.25,2.894869657,3.244771761,3.07773118,3.07773118,3.261738547,3.254064453,3.301680949,3.298197867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,4,6,3613,3.557867962,1925,2165,2009,2028,1530,1508,2429,2615,2026.125,3.284430734,3.335457901,3.302979937,3.307067951,3.184691431,3.178401342,3.385427515,3.417471693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,4,6,2529,3.402948829,1056,1259,1957,1970,1839,1745,1676,1751,1656.625,3.023663918,3.10002573,3.291590826,3.294466226,3.264581729,3.241795431,3.224274014,3.243286146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,4,6,3670,3.564666064,1767,1365,1748,1794,1858,1842,1927,2019,1790,3.24723655,3.135132651,3.242541428,3.253822439,3.26904571,3.265289626,3.284881715,3.305136319,17,30,1.230448921,1.477121255,1,1,0,0,1,1,0,0,5,11,0.698970004,1.041392685,4,4,0.602059991,0.602059991,10,19,1,1.278753601
1983,4,6,3624,3.559188189,1916,1794,1897,1876,1942,1868,1342,1526,1770.125,3.282395505,3.253822439,3.278067331,3.273232834,3.288249226,3.271376872,3.127752516,3.183554534,5,6,0.698970004,0.77815125,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.698970004,0.698970004,4,8,0.602059991,0.903089987
1984,4,6,4312,3.634678752,2499,1656,996,997,1712,1696,1990,2107,1706.625,3.397766256,3.219060332,2.998259338,2.998695158,3.23350376,3.229425848,3.298853076,3.323664536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,4,6,4230,3.626340367,1639,1805,804,795,785,709,1879,1628,1255.5,3.214578954,3.256477206,2.905256049,2.900367129,2.894869657,2.850646235,3.27392678,3.211654401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,4,6,5151,3.71189155,1259,912,1805,1811,1674,1683,985,1010,1392.375,3.10002573,2.959994838,3.256477206,3.25791845,3.223755454,3.226084116,2.99343623,3.004321374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,4,6,4974,3.696705781,1146,2543,1455,1471,1102,1007,2056,2274,1631.75,3.059184618,3.40534636,3.162862993,3.167612673,3.042181595,3.003029471,3.31302311,3.35679046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,4,6,2890,3.460897843,2330,1512,1198,1199,1698,1652,2230,2752,1821.375,3.367355921,3.179551791,3.078456818,3.078819183,3.229937686,3.218010043,3.348304863,3.43964843,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0.301029996,0,0,0,0,1,1,0,0
1989,4,6,3359,3.526210004,1261,997,1577,1585,1248,1449,850,1675,1330.25,3.100715087,2.998695158,3.197831693,3.200029267,3.096214585,3.161068385,2.929418926,3.224014811,13,39,1.113943352,1.591064607,1,1,0,0,6,8,0.77815125,0.903089987,5,14,0.698970004,1.146128036,0,0,0,0,1,2,0,0.301029996
1990,4,6,3511,3.545430829,2332,1565,1423,1387,961,919,1774,1601,1495.25,3.367728546,3.194514342,3.1532049,3.142076461,2.982723388,2.963315511,3.248953615,3.204391332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,4,6,3956,3.597256283,1181,2014,2321,2321,2176,944,1203,2127,1785.875,3.072249898,3.304059466,3.36567514,3.36567514,3.337658891,2.974971994,3.080265627,3.32776749,0,0,0,0,2,2,0.301029996,0.301029996,1,1,0,0,3,8,0.477121255,0.903089987,0,0,0,0,6,16,0.77815125,1.204119983
1992,4,6,2723,3.435047641,1025,1333,924,919,1905,2474,1560,1242,1422.75,3.010723865,3.124830149,2.965671971,2.963315511,3.27989498,3.393399695,3.193124598,3.094121596,2,5,0.301029996,0.698970004,2,2,0.301029996,0.301029996,0,0,0,0,0,0,0,0,3,3,0.477121255,0.477121255,2,6,0.301029996,0.77815125
1993,4,6,2777,3.44357588,1498,1218,2100,2113,1023,1849,1907,1246,1619.25,3.175511813,3.085647288,3.322219295,3.324899497,3.009875634,3.266936911,3.280350693,3.095518042,6,16,0.77815125,1.204119983,5,7,0.698970004,0.84509804,2,2,0.301029996,0.301029996,1,2,0,0.301029996,1,1,0,0,5,11,0.698970004,1.041392685
1994,4,6,4878,3.688241796,1991,2413,1744,1740,1830,1096,1237,2341,1799,3.29907126,3.382557322,3.241546481,3.240549248,3.26245109,3.039810554,3.0923697,3.369401414,30,167,1.477121255,2.222716471,4,5,0.602059991,0.698970004,0,0,0,0,6,19,0.77815125,1.278753601,2,3,0.301029996,0.477121255,14,41,1.146128036,1.612783857
1995,4,6,5152,3.711975854,463,1080,1962,1949,2422,2261,1747,1567,1681.375,2.665580991,3.033423755,3.292699003,3.289811839,3.384174139,3.354300562,3.242292905,3.195068996,28,99,1.447158031,1.995635195,5,7,0.698970004,0.84509804,4,4,0.602059991,0.602059991,10,33,1,1.51851394,9,12,0.954242509,1.079181246,13,71,1.113943352,1.851258349
1996,4,6,5151,3.71189155,1193,1507,2929,2927,628,2049,2435,1781,1931.125,3.076640444,3.178113252,3.466719372,3.466422722,2.797959644,3.311541958,3.386498966,3.250663919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
1997,4,6,4878,3.688241796,1735,1496,1478,1485,1857,1953,1903,1238,1643.125,3.239299479,3.174931594,3.169674434,3.171726454,3.268811904,3.290702243,3.279438788,3.092720645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
1998,4,6,4772,3.678700435,1083,1472,1461,1495,1995,2025,1986,638,1519.375,3.034628457,3.16790781,3.164650216,3.174641193,3.2999429,3.306425028,3.297979244,2.804820679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
1999,4,6,5152,3.711975854,1312,1591,1603,1552,943,1999,1149,1951,1512.5,3.117933835,3.20167018,3.204933522,3.190891717,2.974511693,3.300812794,3.060320029,3.290257269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
2000,4,6,4772,3.678700435,356,952,2862,2864,1881,1344,1379,3019,1832.125,2.551449998,2.978636948,3.456669629,3.456973014,3.274388796,3.128399269,3.139564266,3.479863113,13,38,1.113943352,1.579783597,3,3,0.477121255,0.477121255,0,0,0,0,8,16,0.903089987,1.204119983,2,2,0.301029996,0.301029996,6,14,0.77815125,1.146128036
2001,4,6,4389,3.642365581,2461,1453,1986,1750,1183,1292,1547,1044,1589.5,3.391111614,3.162265614,3.297979244,3.243038049,3.072984745,3.111262514,3.189490314,3.018700499,5,10,0.698970004,1,1,1,0,0,1,1,0,0,2,9,0.301029996,0.954242509,3,3,0.477121255,0.477121255,6,11,0.77815125,1.041392685
2002,4,6,4087,3.611404638,2054,1326,2261,721,663,1009,1214,1118,1295.75,3.312600439,3.122543524,3.354300562,2.857935265,2.821513528,3.003891166,3.084218687,3.048441804,1,2,0,0.301029996,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,8,0.602059991,0.903089987
2003,4,6,3841,3.584444307,1011,2201,2931,2164,1615,640,2028,1773,1795.375,3.004751156,3.342620043,3.467015818,3.335257256,3.208172527,2.806179974,3.307067951,3.248708736,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0.301029996,1.113943352
2004,4,6,3342,3.524006446,2071,1234,1828,1051,999,2009,2050,1944,1648.25,3.316180099,3.09131516,3.261976191,3.021602716,2.999565488,3.302979937,3.311753861,3.288696261,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0.77815125,1.079181246
2005,4,6,2851,3.454997217,993,1013,1548,1402,2019,1007,1489,479,1243.75,2.996949248,3.005609445,3.189770956,3.146748014,3.305136319,3.003029471,3.172894698,2.680335513,0,0,0,0,3,3,0.477121255,0.477121255,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0.77815125,1
1967,5,xx,4423,3.645716939,1378,727,1137,1150,1810,1763,1197,962,1265.5,3.139249218,2.861534411,3.055760465,3.06069784,3.257678575,3.246252312,3.07809415,2.983175072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,5,xx,4749,3.67660217,1894,1138,1571,1575,1975,1946,1068,976,1517.875,3.277379975,3.056142262,3.196176185,3.197280558,3.2955671,3.289142836,3.028571253,2.989449818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,5,xx,3707,3.569022586,1230,892,1396,1356,1918,1832,854,710,1273.5,3.089905111,2.950364854,3.144885418,3.13225969,3.282848603,3.262925469,2.931457871,2.851258349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,5,xx,4350,3.638489257,744,368,2238,2222,824,762,1108,1113,1172.375,2.871572936,2.565847819,3.349860082,3.346744055,2.915927212,2.881954971,3.04453976,3.046495164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,5,xx,4749,3.67660217,1946,1231,1187,1180,683,605,1984,1820,1329.5,3.289142836,3.090258053,3.074450719,3.071882007,2.834420704,2.781755375,3.297541668,3.260071388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,5,xx,4423,3.645716939,1033,1444,1812,1821,2203,2196,974,917,1550,3.014100322,3.159567193,3.258158193,3.260309946,3.343014497,3.341632336,2.988558957,2.962369336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
